Comment,processed_text,tokens
Infinix skrng koar2 mau nantangin redmi tapi apa dayanya🥱,infinix skrng koar nantangin redmi daya,"['infinix', 'skrng', 'koar', 'nantangin', 'redmi', 'daya']"
Bismillah kebeli 😁 tambah yakin kalo yg review banh david 😎,bismillah kebel kalo yg review banh david,"['bismillah', 'kebel', 'kalo', 'yg', 'review', 'banh', 'david']"
Mantap positif beli ini apalagi sekarang harganya 2 jutaan,mantap positif beli harga juta,"['mantap', 'positif', 'beli', 'harga', 'juta']"
bang david infinix note 10 pro itu spek nya bisa tahan air sama anti debu enggak?,bang david infinix note pro spek nya tahan air anti debu,"['bang', 'david', 'infinix', 'note', 'pro', 'spek', 'nya', 'tahan', 'air', 'anti', 'debu']"
"1:09 saya suka keributan, David 2k21
4:22 baru ini kali ini ada speaker kyk gk kasih makan, lawak lu bg david kata²nya.",suka ribut david k kali speaker kyk gk kasih makan lawak lu bg david kata nya,"['suka', 'ribut', 'david', 'k', 'kali', 'speaker', 'kyk', 'gk', 'kasih', 'makan', 'lawak', 'lu', 'bg', 'david', 'kata', 'nya']"
Bang ane mau nnya kalo pas vc ituh gelap knph ya bang? Kontras kudu terang dulu bang🙏,bang ane nnya kalo pas vc ituh gelap knph ya bang kontras kudu terang bang,"['bang', 'ane', 'nnya', 'kalo', 'pas', 'vc', 'ituh', 'gelap', 'knph', 'ya', 'bang', 'kontras', 'kudu', 'terang', 'bang']"
"Gue beli dari Oktober 2021 sampai sekarang aman banget ga pernah update jadi finger print ga ilang . Layar gede , bagus jernih🥰🥰🥰",gue beli oktober aman banget ga update finger print ga ilang layar gede bagus jernih,"['gue', 'beli', 'oktober', 'aman', 'banget', 'ga', 'update', 'finger', 'print', 'ga', 'ilang', 'layar', 'gede', 'bagus', 'jernih']"
Sekarang apakah masih pake gan ?,pake gan,"['pake', 'gan']"
Bg riviu infinix 2023 dong..pliss,bg riviu infinix dongpliss,"['bg', 'riviu', 'infinix', 'dongpliss']"
"Min, izin bertanya. Infinix Note 10  Pro yang versi 8/256 GB apa tdk masuk Indonesia ya Min?",min izin infinix note pro versi gb tdk masuk indonesia ya min,"['min', 'izin', 'infinix', 'note', 'pro', 'versi', 'gb', 'tdk', 'masuk', 'indonesia', 'ya', 'min']"
Keknya gk deh gan.. sya dlu nyari yg 8/256 tpi gk nemu.. akhirnya beli 8/128,kek gk deh gan sya dlu nyari yg tpi gk nemu beli,"['kek', 'gk', 'deh', 'gan', 'sya', 'dlu', 'nyari', 'yg', 'tpi', 'gk', 'nemu', 'beli']"
@@kevinkusumapti5141 beli dimana bang?,kevinkusumapti beli mana bang,"['kevinkusumapti', 'beli', 'mana', 'bang']"
"Lihat nanti INFINIX tahun 2023 akan segera menumbangkan merk-merk smartphone seperti VIVO, OPPO, POCO, TECHNO, Xiaomi, Realme.",lihat infinix tumbang merkmerk smartphone vivo oppo poco techno xiaomi realme,"['lihat', 'infinix', 'tumbang', 'merkmerk', 'smartphone', 'vivo', 'oppo', 'poco', 'techno', 'xiaomi', 'realme']"
Tecno satu perushaan kidss sama infinix tau ga,tecno perushaan kidss infinix tau ga,"['tecno', 'perushaan', 'kidss', 'infinix', 'tau', 'ga']"
2x beli infinik beda tipe msalah nya di konektor cas yg bikin kesel,x beli infinik beda tipe msalah nya konektor cas yg bikin kesel,"['x', 'beli', 'infinik', 'beda', 'tipe', 'msalah', 'nya', 'konektor', 'cas', 'yg', 'bikin', 'kesel']"
Gua pake infinity note 11 nfc enak buat pake maen game ga ngelek tapi cepat panas dan baterai nya cepat abis juga,gua pake infinity note nfc enak pake maen game ga ngelek cepat panas baterai nya cepat abis,"['gua', 'pake', 'infinity', 'note', 'nfc', 'enak', 'pake', 'maen', 'game', 'ga', 'ngelek', 'cepat', 'panas', 'baterai', 'nya', 'cepat', 'abis']"
"ini hp NFC nya kurang bagus, respon lelet  kadang gabisa juga, beda sama NFC nya di Xiaomi.",hp nfc nya bagus respon lelet kadang gabisa beda nfc nya xiaomi,"['hp', 'nfc', 'nya', 'bagus', 'respon', 'lelet', 'kadang', 'gabisa', 'beda', 'nfc', 'nya', 'xiaomi']"
"Hardware gila merk apa aja bisa ya tapi klo software mateng, ya harus merk tertentu. Sperti perilaku baik semua org bisa tapi watak/sifatnya baik ya org tertentu aja",hardware gila merk aja ya klo software mateng ya merk sperti perilaku org wataksifatnya ya org aja,"['hardware', 'gila', 'merk', 'aja', 'ya', 'klo', 'software', 'mateng', 'ya', 'merk', 'sperti', 'perilaku', 'org', 'wataksifatnya', 'ya', 'org', 'aja']"
"Klo beli hp mengtingin performa merk apa aja bisa ya, tapi klo beli soal software yg matang harus pinter2 milih sih.",klo beli hp mengtingin performa merk aja ya klo beli software yg matang pinter milih sih,"['klo', 'beli', 'hp', 'mengtingin', 'performa', 'merk', 'aja', 'ya', 'klo', 'beli', 'software', 'yg', 'matang', 'pinter', 'milih', 'sih']"
Kok gak review yang note 11pro,gak review note pro,"['gak', 'review', 'note', 'pro']"
Bang cara setting game fullscreen gimana? Semua game ane kok kepotong ya ga bisa notch always on,bang setting game fullscreen gimana game ane potong ya ga notch always on,"['bang', 'setting', 'game', 'fullscreen', 'gimana', 'game', 'ane', 'potong', 'ya', 'ga', 'notch', 'always', 'on']"
"Mending note 10pro nfc atau hot 11s nfc ya? Bukan untuk gaming, lebih butuh untuk entertainment sama hasil foto video yg bagus.. Nfc wajib sih",mending note pro nfc hot s nfc ya gaming butuh entertainment hasil foto video yg bagus nfc wajib sih,"['mending', 'note', 'pro', 'nfc', 'hot', 's', 'nfc', 'ya', 'gaming', 'butuh', 'entertainment', 'hasil', 'foto', 'video', 'yg', 'bagus', 'nfc', 'wajib', 'sih']"
Bg hp infinix rekomendasi buat maen game:D,bg hp infinix rekomendasi maen gamed,"['bg', 'hp', 'infinix', 'rekomendasi', 'maen', 'gamed']"
"Aku kecewa dengan infinix note 10 pro,
Iklan hp infinix sangat mengganggu lavi main game malah sibuk iklan anjing.
Aku benci pake infinix note 10 pro.
Jujur aja aku sangat kecewa sama produk infinix.",kecewa infinix note pro iklan hp infinix ganggu lavi main game sibuk iklan anjing benci pake infinix note pro jujur aja kecewa produk infinix,"['kecewa', 'infinix', 'note', 'pro', 'iklan', 'hp', 'infinix', 'ganggu', 'lavi', 'main', 'game', 'sibuk', 'iklan', 'anjing', 'benci', 'pake', 'infinix', 'note', 'pro', 'jujur', 'aja', 'kecewa', 'produk', 'infinix']"
"Aku beli'y 1,8 ram 8/68gb. Sdh 2 bln pemakaian.",beliy ram gb sdh bln pakai,"['beliy', 'ram', 'gb', 'sdh', 'bln', 'pakai']"
Bang Riview Infinix Zero Ultra 😁,bang riview infinix zero ultra,"['bang', 'riview', 'infinix', 'zero', 'ultra']"
Mau brapa puluh Mp .. kamera infinix tetep aja burik .. lebih bagus j2 prime 😅,brapa puluh mp kamera infinix tetep aja burik bagus j prime,"['brapa', 'puluh', 'mp', 'kamera', 'infinix', 'tetep', 'aja', 'burik', 'bagus', 'j', 'prime']"
Kebelet caper lu dek,kebelet caper lu dek,"['kebelet', 'caper', 'lu', 'dek']"
​@@kelpotv8499ya begitulah,kelpotvya,['kelpotvya']
Ka klw infinix 10 pro yg 6/64 gb itu muat banyak apk atau tdk ya,ka klw infinix pro yg gb muat apk tdk ya,"['ka', 'klw', 'infinix', 'pro', 'yg', 'gb', 'muat', 'apk', 'tdk', 'ya']"
Minimal 128 lah,minimal,['minimal']
"Kamera infinix n10p joss,teruji saat rekam planet jupiter
https://youtu.be/x_U-Y39fijQ",kamera infinix np jossteruji rekam planet jupiter httpsyoutubex uyfijq,"['kamera', 'infinix', 'np', 'jossteruji', 'rekam', 'planet', 'jupiter', 'httpsyoutubex', 'uyfijq']"
Rekomendasi budget 2.500.000🙁,rekomendasi budget,"['rekomendasi', 'budget']"
Infinix VIP Bang...,infinix vip bang,"['infinix', 'vip', 'bang']"
"Gua user infinix 
Emang kerass gk ngotak hpny",gua user infinix emang kerass gk ngotak hpny,"['gua', 'user', 'infinix', 'emang', 'kerass', 'gk', 'ngotak', 'hpny']"
masih setia sama INFINIX HOT 11s NFC😂😂😂,setia infinix hot s nfc,"['setia', 'infinix', 'hot', 's', 'nfc']"
"Kasian bg Dedi jagat review terkesan mamalukan gara2 diantar hp pakek Ferrari ijo. 😂
Ngpain dibahas vid",kasi bg dedi jagat review kes mamalukan gara antar hp pakek ferrari ijo ngpain bahas vid,"['kasi', 'bg', 'dedi', 'jagat', 'review', 'kes', 'mamalukan', 'gara', 'antar', 'hp', 'pakek', 'ferrari', 'ijo', 'ngpain', 'bahas', 'vid']"
User Infinix  selalu di Bully di Group GCAM ..... 🤣,user infinix bully group gcam,"['user', 'infinix', 'bully', 'group', 'gcam']"
Nonton ini pake infinix note 10 pro NFC 🥶,nonton pake infinix note pro nfc,"['nonton', 'pake', 'infinix', 'note', 'pro', 'nfc']"
Buat game gmana broh,game gmana broh,"['game', 'gmana', 'broh']"
?,,[]
Pengguna realmi c2 bisa apa 🤤,guna realmi c,"['guna', 'realmi', 'c']"
Bang review infinix note 11 nfc masih wort it kh 🙏🙏🙏,bang review infinix note nfc wort it kh,"['bang', 'review', 'infinix', 'note', 'nfc', 'wort', 'it', 'kh']"
MASALAH SPEAKER HARUS DI ATUR DI PENGATURAN... ADA DTS AUDIO,speaker atur atur dts audio,"['speaker', 'atur', 'atur', 'dts', 'audio']"
"Puas pake note 10 pro meski unit second , bodi mantab dalam genggaman , layar super lega nyaris 7 inch ... Setelah update buat bulan Juli , batere jadi berasa lebih awet , bisa bertahan seharian padahal penggunaan super berat ... Soal speaker perasaan normal saat diset volume , gak pecah , diset + - normal juga ... Kalau udah begini gak perlu ngelirik brand besar karena chipset ram dan harga masih sangat bersaing",puas pake note pro unit second bodi mantab genggam layar super lega inch update juli batere asa awet tahan hari guna super berat speaker asa normal set volume gak pecah set normal udah gak ngelirik brand chipset ram harga saing,"['puas', 'pake', 'note', 'pro', 'unit', 'second', 'bodi', 'mantab', 'genggam', 'layar', 'super', 'lega', 'inch', 'update', 'juli', 'batere', 'asa', 'awet', 'tahan', 'hari', 'guna', 'super', 'berat', 'speaker', 'asa', 'normal', 'set', 'volume', 'gak', 'pecah', 'set', 'normal', 'udah', 'gak', 'ngelirik', 'brand', 'chipset', 'ram', 'harga', 'saing']"
Bang lu update sampe juli 2022 ?,bang lu update sampe juli,"['bang', 'lu', 'update', 'sampe', 'juli']"
?,,[]
Reivuw Infinix note 8 gk ada di chanel ini,reivuw infinix note gk chanel,"['reivuw', 'infinix', 'note', 'gk', 'chanel']"
"Di Infinix note 10 pro saya, saya ngga bisa download attachment/file dari aplikasi Yahoo. Trus ga bisa download file dari aplikasi google drive juga. Ini ga bisa download kalo pake data seluler. Tapi kalo pake wifi bisa ke download. Ada yg ngalamin hal yg sama? Ini saya masih belum update software. Masih software bawaan.",infinix note pro ngga download attachmentfile aplikasi yahoo trus ga download file aplikasi google drive ga download kalo pake data seluler kalo pake wifi download yg ngalamin yg update software software bawa,"['infinix', 'note', 'pro', 'ngga', 'download', 'attachmentfile', 'aplikasi', 'yahoo', 'trus', 'ga', 'download', 'file', 'aplikasi', 'google', 'drive', 'ga', 'download', 'kalo', 'pake', 'data', 'seluler', 'kalo', 'pake', 'wifi', 'download', 'yg', 'ngalamin', 'yg', 'update', 'software', 'software', 'bawa']"
Sama 11 pro bagus mana ya? Sarannya dong (buat game dan sosmed),pro bagus ya saran game sosmed,"['pro', 'bagus', 'ya', 'saran', 'game', 'sosmed']"
Kalo buat game note 10 pro sedangkn buat sosmed note 11 pro,kalo game note pro sedangkn sosmed note pro,"['kalo', 'game', 'note', 'pro', 'sedangkn', 'sosmed', 'note', 'pro']"
"Yang 6/64 di tiktok shop cuma 1,9JT COY",tiktok shop jt coy,"['tiktok', 'shop', 'jt', 'coy']"
"Di shope 1,9 6/128 bang",shope bang,"['shope', 'bang']"
Bang panas ngga kalo jangka waktu lama,bang panas ngga kalo jangka,"['bang', 'panas', 'ngga', 'kalo', 'jangka']"
mending mana sii bang dari redmi 10?,mending sii bang redmi,"['mending', 'sii', 'bang', 'redmi']"
"SEMUA TEKNOLOGI YG DI CIPTAKAN TDK ADA YG SEMPURNA , BEGITU JUGA MANUSIA NYA TDK ADA YG SEMPURNA...DAN HAL YG TERPENTING MENGGUNAKAN SMART PHONE ADALAH SESUAI DGN KEBUTUHAN KITA...",teknologi yg cipta tdk yg sempurna manusia nya tdk yg sempurnadan yg penting smart phone sesuai dgn butuh,"['teknologi', 'yg', 'cipta', 'tdk', 'yg', 'sempurna', 'manusia', 'nya', 'tdk', 'yg', 'sempurnadan', 'yg', 'penting', 'smart', 'phone', 'sesuai', 'dgn', 'butuh']"
"2016=hp Xiaomi 4A
2022=tetep Xiaomi 4A",hp xiaomi a tetep xiaomi a,"['hp', 'xiaomi', 'a', 'tetep', 'xiaomi', 'a']"
"Dan saya beli hp ini setelah 1th video ini rilis... Well harganya tinggal 2jt kurang... Karena udah keluar Infinix Note 12

Edited: Ganti dari Tecno Spark 7 Pro",beli hp th video rilis well harga tinggal jt udah infinix note edited ganti tecno spark pro,"['beli', 'hp', 'th', 'video', 'rilis', 'well', 'harga', 'tinggal', 'jt', 'udah', 'infinix', 'note', 'edited', 'ganti', 'tecno', 'spark', 'pro']"
Klo buat maen game ringan gtu msih enak?,klo maen game ringan gtu msih enak,"['klo', 'maen', 'game', 'ringan', 'gtu', 'msih', 'enak']"
"@@adityamalo258 Waduh saya ga main game mobile... Mainnya Emulator, tapi Emulator RPCS bahkan yg All in One macam Arch lancar jaya di High... klo FPS sih kurang paham

Melihat Mediatek G95 masih 1 angka dibawah Poco M4 Pro (G96) kemungkinan besar bagus sih",adityamalo ga main game mobile main emulator emulator rpcs yg all in one arch lancar jaya high klo fps sih paham mediatek g angka bawah poco m pro g bagus sih,"['adityamalo', 'ga', 'main', 'game', 'mobile', 'main', 'emulator', 'emulator', 'rpcs', 'yg', 'all', 'in', 'one', 'arch', 'lancar', 'jaya', 'high', 'klo', 'fps', 'sih', 'paham', 'mediatek', 'g', 'angka', 'bawah', 'poco', 'm', 'pro', 'g', 'bagus', 'sih']"
"@williamcbell iya sih cuma problemnya game kan ga cuma GPU tapi juga CPU... Walo lebih rendah dikit, GPU nya kayanya cepet G96",williamcbell iya sih problem game ga gpu cpu walo rendah dikit gpu nya kaya cepet g,"['williamcbell', 'iya', 'sih', 'problem', 'game', 'ga', 'gpu', 'cpu', 'walo', 'rendah', 'dikit', 'gpu', 'nya', 'kaya', 'cepet', 'g']"
@williamcbell Owh... Gitu ya .. Tapi POCO gw sama nih hp kok kayanya progress apapun cepet si POCO yg make G96,williamcbell owh gitu ya poco gw nih hp kaya progress apa cepet si poco yg make g,"['williamcbell', 'owh', 'gitu', 'ya', 'poco', 'gw', 'nih', 'hp', 'kaya', 'progress', 'apa', 'cepet', 'si', 'poco', 'yg', 'make', 'g']"
"Lah harga yang 6GB / 64GB dan 8GB / 128GB ga jauh beda cuma beda 300 rb aja 🗿
Mending yang 8GB / 128GB sih :)",harga gb gb gb gb ga beda beda rb aja mending gb gb sih,"['harga', 'gb', 'gb', 'gb', 'gb', 'ga', 'beda', 'beda', 'rb', 'aja', 'mending', 'gb', 'gb', 'sih']"
Alhamdulillah udah kebeli HP ini 🙂,alhamdulillah udah kebel hp,"['alhamdulillah', 'udah', 'kebel', 'hp']"
Kameranya bgus GK BG pas malam...,kamera bgus gk bg pas malam,"['kamera', 'bgus', 'gk', 'bg', 'pas', 'malam']"
@@arankoru7289 bagus untuk videonya juga mendukung 4K,arankoru bagus video dukung k,"['arankoru', 'bagus', 'video', 'dukung', 'k']"
Bang tolong kasih time stamp,bang tolong kasih time stamp,"['bang', 'tolong', 'kasih', 'time', 'stamp']"
Bang tolong Review Infinix Note 11 Pro 8/128 dong  🙏🏼,bang tolong review infinix note pro,"['bang', 'tolong', 'review', 'infinix', 'note', 'pro']"
Saatnya hp infinix in the best.Hebaat👍👍👍,hp infinix in the besthebaat,"['hp', 'infinix', 'in', 'the', 'besthebaat']"
Ko ane ngerasa Night Mode kameranya bagus banget ya??? Emang ga natural tapi kan night mode dibuat biar kita bisa ngeliat yg mata kita susah/ga bisa kita liat,ko ane ngerasa night mode kamera bagus banget ya emang ga natural night mode biar ngeliat yg mata susahga liat,"['ko', 'ane', 'ngerasa', 'night', 'mode', 'kamera', 'bagus', 'banget', 'ya', 'emang', 'ga', 'natural', 'night', 'mode', 'biar', 'ngeliat', 'yg', 'mata', 'susahga', 'liat']"
Mediatek g95 setara dengan Snapdragon apa ya,mediatek g tara snapdragon ya,"['mediatek', 'g', 'tara', 'snapdragon', 'ya']"
Katanya 720g entahlah,g,['g']
@@haybro820 skor AnTuTu 320.000,haybro skor antutu,"['haybro', 'skor', 'antutu']"
Bang review samsung m12,bang review samsung m,"['bang', 'review', 'samsung', 'm']"
gua barusan dapat ditokped offcial Infinix 1.9 wkwk cara HP keluaran skrg pda cupu chipsetnya dikelas 2 jtaan,gua barusan ditokped offcial infinix wkwk hp keluar skrg pda cupu chipsetnya kelas jtaan,"['gua', 'barusan', 'ditokped', 'offcial', 'infinix', 'wkwk', 'hp', 'keluar', 'skrg', 'pda', 'cupu', 'chipsetnya', 'kelas', 'jtaan']"
Bismillah . Beli ini aja . Harganya udah turun 6/64 2jt,bismillah beli aja harga udah turun jt,"['bismillah', 'beli', 'aja', 'harga', 'udah', 'turun', 'jt']"
